Case ID,Activity ID,Activity Date,Originating Department,Owner Department,Controlling Department,Cargo Property Damage,Facility Property Damage,Other Property Damage,Vessel Property Damage,Total Property Damage,Total Persons at Risk,Total Persons Dead,Total Persons Missing,Total Persons Injured,Vessels Actual Total Loss,Vessels Constructive Total Loss,Vessels Damaged,Vessels Undamaged,Level of Investigation,IMO Designation,US Designation,Serious Marine Incident Designation,Latitude,Longitude,Activity Title,Case Title,Incident Involved
489548,3674205,1/11/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,1,0,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.191320000000000,-89.051065000000000,M/V CAPT BUTCH BOWMAN/Equipment Failure,MS Equipment Failure/CAPT BUTCH BOWMAN/ Mound City 00 00.0 S 000 00.0 W mile 977.1 Ohio River right descending bank/111730ZJAN10,Material Failure/Malfunction
487399,3674007,1/12/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,2,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.140407000000000,-88.410197000000000,CHARLES B HOLMAN Grounding,MS Grounding/CHARLES B. HOLMAN/H.B. STEWART/ 37 04.134 N 088 33.0642 W 931-932 OHR/121510ZJAN10,Grounding
487568,3668440,1/13/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$4,000.00","$4,000.00",0,0,0,0,0,0,2,1,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.191320000000000,-89.051065000000000,UTV RON SHANKIN/Allision,MS Allision/RON SHANKIN/ 37 02.841 N 089 10.6554 W Ohio River MM 976/131400ZJAN10,Allision
487566,3663493,1/13/2010,MSU HUNTINGTON (007767),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,1,0,Data Collection,Routine,Routine,Not a Serious Marine Incident,38.260848000000000,-81.572318000000000,UCN 10-008/Hardly Dangerous/Oil Spill,MEP Pollution - Oil/ RIVER MILE 52 KANAWHA RIVER 00 00.0 S 000 00.0 W/130700ZJAN10,Discharge/Release - Pollution
487692,3671029,1/14/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,"$5,850.00",$0.00,"$5,850.00",0,0,0,0,0,0,0,2,Data Collection,Routine,Routine,Not a Serious Marine Incident,36.574840000000000,-89.490820000000000,HARRY MACK Grounding,MS Grounding/HARRY M. MACK/ 36 34.4904 N 089 29.4492 W Lower Mississippi River MM 891/141815ZJAN10,Grounding
487855,3665884,1/15/2010,SECTOR OHIO VALLEY (007728),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$10,000.00","$10,000.00",0,0,0,0,0,0,1,0,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.803611000000000,-87.343611000000000,NADINE BAKER - Grounding,MS Grounding/NADINE BAKER/ Daviess County 37 48.9336 N 087 18.8658 W Green River Mile 19/160352ZJAN10,Grounding
487885,3681004,1/16/2010,MSU HUNTINGTON (007767),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,1,Data Collection,Routine,Routine,Not a Serious Marine Incident,38.192971666700000,-81.370416666700000,P/C TREVOR J/ OIL SPILL/UCN 10-010,MEP Pollution - Oil/ 38 14.9196 N 081 33.9036 W MM 68 KANAWHA RIVER/160845ZJAN10,Discharge/Release - Pollution
487913,3666229,1/16/2010,MSD NASHVILLE (007763),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$10,000.00","$10,000.00",0,0,0,0,0,0,1,1,Data Collection,Routine,Routine,Not a Serious Marine Incident,35.085555000000000,-88.297222000000000,Grounding - M/V HAMILTON,MS Grounding/HAMILTON/ Pickwick Landing 35 04.6 N 088 17.6 W mile 203.6 Tennessee River/170344ZJAN10,Grounding
487903,3668236,1/16/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$80,000.00","$80,000.00",0,0,0,0,0,0,1,1,Informal,Routine,Routine,Not a Serious Marine Incident,37.873650000000000,-89.779320000000000,JUSTIN PAUL ECKSTEIN Grounding,MEP Pollution - Oil/JUSTIN PAUL ECKSTEIN/ Cape Girardeau 00 00.0 S 000 00.0 W MILE 48.5 Upper Mississippi River/162020ZJAN10,Grounding
487973,3666837,1/17/2010,MSU HUNTINGTON (007767),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,1,Data Collection,Routine,Routine,Not a Serious Marine Incident,38.421910000000000,-82.598770000000000,UTV JAMES E. ANDERSON/ OIL SPILL/ UCN 10-006,MEP Pollution - Oil/JAMES E. ANDERSON/ Kenova 38 25.3146 N 082 35.9262 W MCGUINNESS INCORPORATED/MILE 317.5 OHIO RIVER/180250ZJAN10,Discharge/Release - Pollution
488867,3670277,1/18/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,1,Data Collection,Routine,Routine,Not a Serious Marine Incident,36.979790000000000,-88.237180000000000,BL210 / POL / LOW,MEP Pollution - Oil/ RIVER MILE 22.9 00 00.0 S 000 00.0 W/181005ZJAN10,Discharge/Release - Pollution
488061,3669490,1/19/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$10,000.00","$10,000.00",0,0,0,0,0,0,1,1,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.078450000000000,-88.571400000000000,THOMAS R VORHOLT Equip Failure and Fire,MS Fire/THOMAS R VORHOLT/H.B. STEWART/ MILE 933 OHIO RIVER/190505ZJAN10,Fire - Initial
488077,3665870,1/19/2010,SECTOR OHIO VALLEY (007728),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$3,000.00","$3,000.00",0,0,0,0,0,0,0,1,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.938889000000000,-87.441943000000000,UTV MISS DORIS/Loss of Electrical power,MS Equipment Failure/MISS DORIS/ 00 00.0 S 000 00.0 W MILE 780 OHIO RIVER/191030ZJAN10,Loss of Electrical Power
488236,3666847,1/19/2010,MSU HUNTINGTON (007767),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,0,Data Collection,Routine,Routine,Not a Serious Marine Incident,38.467500833300000,-81.817220000000000,AEP John Amos/ Security Breach/ UCN 10-007,MEP Pollution - Oil/ 1530 WINFIELD ROAD 00 00.0 S 000 00.0 W UNIT 1 AND UNIT 3/190948ZJAN10,Material Failure/Malfunction
488064,3665918,1/19/2010,MSU HUNTINGTON (007767),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,1,1,0,0,0,0,0,3,Informal,Routine,Routine,Serious Marine Incident,38.433610000000000,-82.419980000000000,UTV TRI STATE/PERSONNEL CASUALTY/30HUN10,MS Loss of Life/Injury/TRI-STATE/ MILE 316 OHIO RIVER/190637ZJAN10,Allision
489550,3674230,1/19/2010,MSU PITTSBURGH (007764),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,1,Informal,Routine,Routine,Not a Serious Marine Incident,40.505209000000000,-80.092966000000000,MS Equipment Failure (01/20/2010 4:35:00 AM),MS Equipment Failure/GEORGETOWN/ 00 00.0 S 000 00.0 W MILE 12.5 OHIO RIVER/200435ZJAN10,Material Failure/Malfunction
488211,3673965,1/20/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$40,000.00","$40,000.00",0,0,0,0,0,0,1,1,Informal,Routine,Routine,Not a Serious Marine Incident,36.341666666700000,-89.540000000000000,UTV CHERYL STEGBAUER/Grounding,MS Grounding/CHERYL STEGBAUER/ Merriwether 36 20.5 N 089 32.4 W Mile 869.7 lower Mississippi River/201439ZJAN10,Grounding
488954,3670793,1/21/2010,SECTOR OHIO VALLEY (007728),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$100.00,$0.00,$100.00,0,0,0,0,0,0,0,1,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.891666666700000,-87.858333333300000,M/V JIMMY BROWN/Loss of Propulsion,MS Equipment Failure/JIMMY BROWN/ Mount Vernon 37 53.5 N 087 51.5 W Mile 826 Ohio River/212052ZJAN10,Material Failure/Malfunction
489659,3674991,1/22/2010,MSD CINCINNATI (007762),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$300.00,$300.00,0,0,0,0,0,0,1,0,Data Collection,Routine,Routine,Not a Serious Marine Incident,38.795432000000000,-84.174194000000000,MS Equipment Failure (01/22/2010 8:15:00 PM),MS Equipment Failure/ANDI BOYD/ Neville 36 49.15 N 084 13.72 W Mile 440 OHR/222015ZJAN10,Material Failure/Malfunction
488966,3670857,1/22/2010,SECTOR OHIO VALLEY (007728),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,"$1,000.00",$0.00,"$1,000.00",0,0,0,0,0,0,0,2,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.837500000000000,-87.908332000000000,M/V ALVIN C. JOHNSON/Loss of Propulsion,MS Equipment Failure/ALVIN C. JOHNSON/A. W. BAYER/ 00 00.0 S 000 00.0 W MILE 836 OHIO RIVER/222204ZJAN10,Material Failure/Malfunction
488606,3671402,1/23/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$13,000.00","$13,000.00",0,0,0,0,0,0,1,1,Data Collection,Routine,Routine,Not a Serious Marine Incident,37.199800000000000,-88.443470000000000,UTV CINDY L ERICKSON/Grounding,MS Grounding/CINDY L. ERICKSON/ 37 11.988 N 088 26.6082 W Ohio River mile 918/232243ZJAN10,Grounding
489058,3671356,1/24/2010,MSU PITTSBURGH (007764),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,1,Informal,Routine,Routine,Not a Serious Marine Incident,39.727520000000000,-79.910570000000000,MS Equipment Failure/UTV ALLEGHENY/Mon River_MM69,MS Equipment Failure/ALLEGHENY/ 39 44.9838 N 079 54.6378 W Monongahela Mile 89/250057ZJAN10,Material Failure/Malfunction
489051,3671288,1/25/2010,SECTOR OHIO VALLEY (007728),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$10,000.00","$10,000.00",0,0,0,0,0,0,0,2,Informal,Routine,Routine,Not a Serious Marine Incident,37.881160000000000,-87.737010000000000,MV Alvin C Johnson - Loss of Propulsion,MS Equipment Failure/ALVIN C. JOHNSON/ West Franklin 37 52.8696 N 087 44.2206 W Mile 818 Ohio River/251152ZJAN10,Material Failure/Malfunction
489057,3671352,1/26/2010,MSU PITTSBURGH (007764),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,1,Informal,Routine,Routine,Not a Serious Marine Incident,39.850640000000000,-79.930530000000000,Equipment failure/UTV ALLEGHENY/Mon River MM76,MS Equipment Failure/ALLEGHENY/ Mount Sterling 39 51.0384 N 079 55.8318 W mile 79 Monongahela River/261907ZJAN10,Material Failure/Malfunction
489616,3674612,1/27/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,1,0,Informal,Routine,Routine,Not a Serious Marine Incident,37.088120000000000,-88.582310000000000,Cumberland Express Equipment Failure,MS Equipment Failure/CUMBERLAND EXPRESS/ Paducah 37 05.2872 N 088 34.9386 W Mile 934 Ohio River/271442ZJAN10,Material Failure/Malfunction
489653,3674938,1/27/2010,MSD CINCINNATI (007762),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$3,000.00","$3,000.00",0,0,0,0,0,0,1,0,Informal,Routine,Routine,Not a Serious Marine Incident,39.094030000000000,-84.504500000000000,MS Equipment Failure (01/27/2010 12:26:00 AM),MS Equipment Failure/LOUISE S/ 39 05.6838 N 084 39.624 W MM 480 OHR/270026ZJAN10,Material Failure/Malfunction
489121,3674086,1/28/2010,MSU PITTSBURGH (007764),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,1,Data Collection,Routine,Routine,Not a Serious Marine Incident,40.289352833300000,-79.877311166700000,MV ALLEGHENY/Allision,MS Allision/ALLEGHENY/ MILE 23.8 MONONGAHELA RIVER/281845ZJAN10,Allision
489142,3674702,1/28/2010,MSU HUNTINGTON (007767),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,2,Data Collection,Routine,Routine,Not a Serious Marine Incident,39.271700000000000,-81.564738333300000,M/V ROBINSON/ALLISION/HUN029,MS Allision/M/V ROBINSON/CHESSIE BALITMORE & OHIO RAILROAD BRIDGE/ 39 16.302 N 081 33.8843 W Ohio River Mile 184.3/282300ZJAN10,Allision
493799,3698674,1/28/2010,MSD CINCINNATI (007762),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$30,000.00","$30,000.00",0,0,0,0,0,0,1,0,Informal,Routine,Routine,Not a Serious Marine Incident,39.094030000000000,-84.504500000000000,Marine Casualty Loss of propulsion and Manuvrblty,MS Equipment Failure/VIRGINIA INGRAM/ Cincinnati 39 04.5264 N 084 37.9914 W Mile 478 Ohio River/281430ZJAN10,Material Failure/Malfunction
489054,3672077,1/28/2010,MSU HUNTINGTON (007767),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,1,0,0,Informal,Routine,Routine,Not a Serious Marine Incident,37.537638000000000,-81.967985000000000,28HUN2010/UTV TROJAN/SINKING/OIL SPILL,MEP Sinking/TROJAN/ MILE 7 BIG SANDY RIVER/281151ZJAN10,Flooding - Progressive
489756,3675483,1/28/2010,SECTOR OHIO VALLEY (007728),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$2,500.00","$2,500.00",0,0,0,0,0,0,1,0,Informal,Routine,Routine,Not a Serious Marine Incident,38.042160000000000,-86.508990000000000,ROBERT LOEDDING Loss of Propulsion,MS Equipment Failure/ROBERT C LOEDDING/ Chenault 38 02.5296 N 086 30.5394 W Mile 691 Ohio River/282048ZJAN10,Fouling
489150,3675435,1/29/2010,SECTOR OHIO VALLEY (007728),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$5,000.00","$5,000.00",0,0,0,0,0,0,1,1,Informal,Routine,Routine,Not a Serious Marine Incident,38.104880000000000,-86.396470000000000,ROBERT C LOEDDING - Equipment Failure/Clutch Fire,MS Fire/ROBERT C LOEDDING/ 38 06.2928 N 086 23.7882 W Ohio River mile 677/290030ZJAN10,Fouling
489153,3673706,1/29/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$65,000.00","$65,000.00",0,0,0,0,0,0,1,5,Informal,Routine,Routine,Not a Serious Marine Incident,36.993580000000000,-89.146420000000000,JOHN GRIMSLEY Allision,MS Allision/JOHN GRIMSLEY 59/ 36 59.6148 N 089 08.7852 W Cairo highway bridge mile marker 980.4 Ohio River/290245ZJAN10,Allision
489189,3672348,1/29/2010,MSU HUNTINGTON (007767),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,0,Data Collection,Routine,Routine,Not a Serious Marine Incident,38.400000000000000,35.783333333300000,27HUN10/FAILED HAIR DRUG TEST/TANKERMAN,MS Alleged Violation of Law/Regulation//291519ZJAN10,UNSPECIFIED
546488,4003940,1/29/2010,MSD CINCINNATI (007762),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,1,Informal,Routine,Routine,Not a Serious Marine Incident,38.898390000000000,-84.847610000000000,MS Equipment Failure (01/29/2010 3:52:00 PM),MS Equipment Failure/CAPT BUTCH BOWMAN/ Florence 38 46.4478 N 084 56.847 W Mile 530.5 Ohio River/291552ZJAN10,Loss/Reduction of Vessel Propulsion/Steering
489316,3673285,1/30/2010,SECTOR OHIO VALLEY (007728),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",6,0,0,0,0,1,0,1,Informal,Routine,Routine,Not a Serious Marine Incident,37.906060000000000,-87.550570000000000,GENTRY B - Allision,"MS Allision/GENTRY B/ Evansville 37 54.3636 N 087 33.0342 W Mile 786 Ohio River, /302002ZJAN10",Allision
494186,3700797,1/31/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$17,000.00","$17,000.00",0,0,0,0,0,0,0,1,Informal,Routine,Routine,Not a Serious Marine Incident,37.166355000000000,-88.425870000000000,RICHARD E WAUGH / Equipment Failure,MS Equipment Failure/RICHARD E. WAUGH/INGRAM BARGE COMPANY/ Smithland Lock at MM 918.5 OHR./221927ZMAR10,Fouling
490246,3678274,1/31/2010,SECTOR OHIO VALLEY (007728),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$19,700.00","$19,700.00",0,0,0,0,0,0,1,0,Informal,Routine,Routine,Not a Serious Marine Incident,38.330730000000000,-85.647930000000000,PHILLIP PFEFFER - Loss of Steering,"MS Equipment Failure/PHILIP M. PFEFFER/OHIO RIVER/INGRAM BARGE COMPANY/ 38 19.8438 N 085 38.8758 W MM 596.1 OHR
Waterway Name:  OHIO RIVER/310135ZJAN10",Material Failure/Malfunction
489340,3673689,1/31/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,"$125,000.00","$2,500.00","$127,500.00",0,0,0,0,0,0,1,5,Informal,Routine,Routine,Serious Marine Incident,37.026870000000000,-88.287040000000000,HORNET Allision,MS Allision/HORNET/ 37 01.6122 N 088 17.2224 W MM 21.7 TNR/310636ZJAN10,Allision
546950,4007320,2/1/2010,MSD CINCINNATI (007762),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,2,Informal,Routine,Routine,Not a Serious Marine Incident,38.898390000000000,-84.847610000000000,D&R Boney Steering Failure,MS Equipment Failure/D. & R. BONEY/ 38 46.4994 N 084 56.2368 W MM 530 OHR/010715ZFEB10,Loss/Reduction of Vessel Propulsion/Steering
489820,3675862,2/1/2010,SECTOR OHIO VALLEY (007728),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$2,500.00","$2,500.00",0,0,0,0,0,0,1,0,Informal,Routine,Routine,Not a Serious Marine Incident,37.950620000000000,-87.604170000000000,LOYD MURPHY - Equipment Failure,"MS Equipment Failure/LOYD MURPHY/ 37 57.0372 N 087 36.2502 W Mile marker 795 Ohio river, left descending bank/011440ZFEB10",Material Failure/Malfunction
491260,3683968,2/2/2010,SECTOR OHIO VALLEY (007728),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,"$1,500.00","$1,500.00",0,0,0,0,0,0,1,1,Informal,Routine,Routine,Not a Serious Marine Incident,38.118510000000000,-86.424730000000000,M/V Senator Stennis-Equipment Failure,MS Equipment Failure/SENATOR STENNIS/ 38 07.1106 N 086 25.4838 W Mile marker 679 Ohio River/021742ZFEB10,Material Failure/Malfunction
489759,3676017,2/4/2010,MSU HUNTINGTON (007767),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,0,2,Data Collection,Routine,Routine,Not a Serious Marine Incident,38.640666666700000,-82.855166666700000,30HUN10/ ING 2326/ GROUNDING,MS Grounding/M/V STEPHEN T/ 38 38.44 N 082 51.31 W Mile 341.8 Ohio River /041815ZFEB10,Grounding
490442,3679363,2/4/2010,MSU PADUCAH (007766),COMMANDANT (CG-INV-3) (009107),COMMANDANT (CG-INV-3) (009107),$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,1,0,Data Collection,Routine,Routine,Not a Serious Marine Incident,36.994650000000000,-88.253770000000000,ELIZABETH LANE / POL,ELIZABETH LANE/POL/LOW,Discharge/Release - Pollution
